state,place,month,rel_hum,lat,lon
Uttar Pradesh ,Agra,January ,64,27.17667,78.008072
Uttar Pradesh ,Agra,February,55,27.17667,78.008072
Uttar Pradesh ,Agra,March,45,27.17667,78.008072
Uttar Pradesh ,Agra,April,35,27.17667,78.008072
Uttar Pradesh ,Agra,May,34,27.17667,78.008072
Uttar Pradesh ,Agra,June,46,27.17667,78.008072
Uttar Pradesh ,Agra,July ,72,27.17667,78.008072
Uttar Pradesh ,Agra,August,77,27.17667,78.008072
Uttar Pradesh ,Agra,September ,67,27.17667,78.008072
Uttar Pradesh ,Agra,October,54,27.17667,78.008072
Uttar Pradesh ,Agra,November,56,27.17667,78.008072
Uttar Pradesh ,Agra,December,64,27.17667,78.008072
Uttar Pradesh ,Allahabad,January,69,25.4358011,81.846311
Uttar Pradesh ,Allahabad,February,57,25.4358011,81.846311
Uttar Pradesh ,Allahabad,March,39,25.4358011,81.846311
Uttar Pradesh ,Allahabad,April,29,25.4358011,81.846311
Uttar Pradesh ,Allahabad,May,33,25.4358011,81.846311
Uttar Pradesh ,Allahabad,June,50,25.4358011,81.846311
Uttar Pradesh ,Allahabad,July,77,25.4358011,81.846311
Uttar Pradesh ,Allahabad,August,81,25.4358011,81.846311
Uttar Pradesh ,Allahabad,September,78,25.4358011,81.846311
Uttar Pradesh ,Allahabad,October,67,25.4358011,81.846311
Uttar Pradesh ,Allahabad,November,61,25.4358011,81.846311
Uttar Pradesh ,Allahabad,December,68,25.4358011,81.846311
Punjab ,Amritsar,January,74,31.63398,74.872261
Punjab ,Amritsar,February,70,31.63398,74.872261
Punjab ,Amritsar,March,64,31.63398,74.872261
Punjab ,Amritsar,April,47,31.63398,74.872261
Punjab ,Amritsar,May,38,31.63398,74.872261
Punjab ,Amritsar,June,48,31.63398,74.872261
Punjab ,Amritsar,July,72,31.63398,74.872261
Punjab ,Amritsar,August,77,31.63398,74.872261
Punjab ,Amritsar,September,69,31.63398,74.872261
Punjab ,Amritsar,October,67,31.63398,74.872261
Punjab ,Amritsar,November,73,31.63398,74.872261
Punjab ,Amritsar,December,76,31.63398,74.872261
Madhya Pradesh ,Indore,January,46,22.764351,75.891151
Madhya Pradesh ,Indore,February,36,22.764351,75.891151
Madhya Pradesh ,Indore,March,25,22.764351,75.891151
Madhya Pradesh ,Indore,April,23,22.764351,75.891151
Madhya Pradesh ,Indore,May,33,22.764351,75.891151
Madhya Pradesh ,Indore,June,58,22.764351,75.891151
Madhya Pradesh ,Indore,July,79,22.764351,75.891151
Madhya Pradesh ,Indore,August,85,22.764351,75.891151
Madhya Pradesh ,Indore,September,73,22.764351,75.891151
Madhya Pradesh ,Indore,October,50,22.764351,75.891151
Madhya Pradesh ,Indore,November,44,22.764351,75.891151
Madhya Pradesh ,Indore,December,48,22.764351,75.891151
Punjab,Ludhiana,January,74,30.900965,75.857277
Punjab,Ludhiana,February,66,30.900965,75.857277
Punjab,Ludhiana,March,62,30.900965,75.857277
Punjab,Ludhiana,April,44,30.900965,75.857277
Punjab,Ludhiana,May,39,30.900965,75.857277
Punjab,Ludhiana,June,49,30.900965,75.857277
Punjab,Ludhiana,July,71,30.900965,75.857277
Punjab,Ludhiana,August,76,30.900965,75.857277
Punjab,Ludhiana,September,68,30.900965,75.857277
Punjab,Ludhiana,October,61,30.900965,75.857277
Punjab,Ludhiana,November,68,30.900965,75.857277
Punjab,Ludhiana,December,74,30.900965,75.857277
Uttarakhand,Mukteswar,January,60,29.460415,79.655824
